mmsi,imo,name,zone,entry_datetime,exit_datetime,status,duration_seconds,duration_hours,avg_speed_knots,observations_count,draught_change_meters,zone_duration_median_hours,zone_avg_speed_median_knots,duration_vs_zone_median,is_low_speed,is_long_duration,loitering_score
538003099.0,9338266.0,AL AAMRIYA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
538003295.0,9388821.0,AL SAMRIYA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
538004983.0,9626039.0,KOOL HUSKY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
538007985.0,9238040.0,SINGAPORE ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
538008352.0,9250191.0,MERCHANT LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
538008396.0,9250725.0,HONGKONG ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
538010102.0,9762261.0,FLEX ENDEAVOUR LNG,suez_canal,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
538011214.0,9275359.0,FUJI LNG LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
563162500.0,9896921.0,BW ENN SNOW LOTUS LNG,gibraltar,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
563177800.0,9896440.0,SERI DAMAI LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
